noise_step,rho,layer,layer_pos,mean_cosine,n_images,variant,exclude_classifier
200,0.2,features.4,8,0.6347537660870863,20,with_classifier,False
200,0.2,features.5.0,9,0.6331535863591278,20,with_classifier,False
200,0.2,features.5.1,10,0.6339259046367978,20,with_classifier,False
200,0.2,features.5.2,11,0.6393108083813087,20,with_classifier,False
200,0.2,features.5.3,12,0.6441190535296565,20,with_classifier,False
200,0.2,features.5.4,13,0.6549605513603791,20,with_classifier,False
200,0.2,features.5.5,14,0.6660767703004505,20,with_classifier,False
200,0.2,features.5.6,15,0.6649481486781783,20,with_classifier,False
200,0.2,features.5.7,16,0.670543524586636,20,with_classifier,False
200,0.2,features.5.8,17,0.6774292579111846,20,with_classifier,False
200,0.2,features.5.9,18,0.6802830168864001,20,with_classifier,False
200,0.2,features.5.10,19,0.685186069542947,20,with_classifier,False
200,0.2,features.5.11,20,0.6817419154384862,20,with_classifier,False
200,0.2,features.5.12,21,0.6775969742095989,20,with_classifier,False
200,0.2,features.5.13,22,0.6772382678337718,20,with_classifier,False
200,0.2,features.5.14,23,0.6796811281675879,20,with_classifier,False
200,0.2,features.5.15,24,0.6819051617539447,20,with_classifier,False
200,0.2,features.5.16,25,0.6817960636097452,20,with_classifier,False
200,0.2,features.5.17,26,0.6827049710517344,20,with_classifier,False
200,0.2,features.5.18,27,0.6841919059520183,20,with_classifier,False
200,0.2,features.5.19,28,0.6880054038970367,20,with_classifier,False
200,0.2,features.5.20,29,0.6908586787063142,20,with_classifier,False
200,0.2,features.5.21,30,0.6990131027594857,20,with_classifier,False
200,0.2,features.5.22,31,0.70431761973578,20,with_classifier,False
200,0.2,features.5.23,32,0.7094467327102371,20,with_classifier,False
200,0.2,features.5.24,33,0.7198147013109664,20,with_classifier,False
200,0.2,features.5.25,34,0.7313632692953814,20,with_classifier,False
200,0.2,features.5.26,35,0.7413654175193414,20,with_classifier,False
200,0.2,features.6,36,0.8063485011924868,20,with_classifier,False
200,0.2,features.7.0,37,0.8090081738907358,20,with_classifier,False
200,0.2,features.7.1,38,0.8155124143802601,20,with_classifier,False
200,0.2,features.7.2,39,0.8203648380144782,20,with_classifier,False
200,0.2,classifier,40,0.9503506307265033,20,with_classifier,False
400,0.4,features.0,0,0.3786461496725678,20,with_classifier,False
400,0.4,features.1.0,1,0.4057944677770138,20,with_classifier,False
400,0.4,features.1.1,2,0.3665790518373251,20,with_classifier,False
400,0.4,features.1.2,3,0.3149245117977262,20,with_classifier,False
400,0.4,features.2,4,0.35266591906547545,20,with_classifier,False
400,0.4,features.3.0,5,0.344889395609498,20,with_classifier,False
400,0.4,features.3.1,6,0.32767840337008236,20,with_classifier,False
400,0.4,features.3.2,7,0.3169519919902086,20,with_classifier,False
400,0.4,features.4,8,0.43999547988176346,20,with_classifier,False
400,0.4,features.5.0,9,0.43584310911595825,20,with_classifier,False
400,0.4,features.5.1,10,0.43229574739933013,20,with_classifier,False
