noise_step,rho,image_name,low_auc_mean,high_auc_mean,gap_high_minus_low
0,0.0,ILSVRC2012_val_00000487,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00000681,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00000729,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00000974,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00003449,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00005130,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00006808,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00010733,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00014541,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00018922,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00025924,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00027450,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00029063,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00030419,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00030425,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00035318,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00035574,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00036158,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00041330,1.0,1.0,0.0
0,0.0,ILSVRC2012_val_00048463,1.0,1.0,0.0
100,0.1,ILSVRC2012_val_00000487,0.23929523829979202,0.47736926713685196,0.23807402883705994
100,0.1,ILSVRC2012_val_00000681,0.4433375030592084,0.7461638501062989,0.30282634704709055
100,0.1,ILSVRC2012_val_00000729,0.4085964556493038,0.7368465937623335,0.3282501381130297
100,0.1,ILSVRC2012_val_00000974,0.3482850267931819,0.8185799150079488,0.4702948882147669
100,0.1,ILSVRC2012_val_00003449,0.43975738502691186,0.7198252604506133,0.2800678754237015
100,0.1,ILSVRC2012_val_00005130,0.5401210773393512,0.7838320214390754,0.24371094409972416
100,0.1,ILSVRC2012_val_00006808,0.5083156341950099,0.5738666398430864,0.06555100564807648
100,0.1,ILSVRC2012_val_00010733,0.3781600735339026,0.6447832891625663,0.26662321562866376
100,0.1,ILSVRC2012_val_00014541,0.4926709985742967,0.7969464399059613,0.30427544133166456
100,0.1,ILSVRC2012_val_00018922,0.49470405472908174,0.5289353910453617,0.03423133631627995
100,0.1,ILSVRC2012_val_00025924,0.3116914646928509,0.5699695153836472,0.25827805069079623
100,0.1,ILSVRC2012_val_00027450,0.3516828999961416,0.7848921223799388,0.43320922238379717
100,0.1,ILSVRC2012_val_00029063,0.22008910779335222,0.6149992589304184,0.3949101511370662
100,0.1,ILSVRC2012_val_00030419,0.18006932933605277,0.7176303011350335,0.5375609717989807
100,0.1,ILSVRC2012_val_00030425,0.3770077110071977,0.5228939191654325,0.14588620815823478
100,0.1,ILSVRC2012_val_00035318,0.49230458508431907,0.7178180194874605,0.22551343440314142
100,0.1,ILSVRC2012_val_00035574,0.4254449630031983,0.8339332273185253,0.408488264315327
100,0.1,ILSVRC2012_val_00036158,0.21749612974810106,0.6061457166438301,0.38864958689572904
100,0.1,ILSVRC2012_val_00041330,0.30891680035976066,0.5598625871057,0.25094578674593937
100,0.1,ILSVRC2012_val_00048463,0.22406405473177635,0.793571550488472,0.5695074957566957
200,0.2,ILSVRC2012_val_00000487,0.16299734511114658,0.3480586168511461,0.1850612717399995
200,0.2,ILSVRC2012_val_00000681,0.33169974987382694,0.6309247168314954,0.2992249669576685
200,0.2,ILSVRC2012_val_00000729,0.31902471033768315,0.6841776421455306,0.3651529318078474
200,0.2,ILSVRC2012_val_00000974,0.26424261573702096,0.7678264133250652,0.5035837975880442
200,0.2,ILSVRC2012_val_00003449,0.33366529020269714,0.7504610106901266,0.41679572048742947
200,0.2,ILSVRC2012_val_00005130,0.42219092208246395,0.6916783188126981,0.2694873967302342
200,0.2,ILSVRC2012_val_00006808,0.38998166954594976,0.39995521870550393,0.009973549159554174
200,0.2,ILSVRC2012_val_00010733,0.2781389477215707,0.4413810594245791,0.1632421117030084
200,0.2,ILSVRC2012_val_00014541,0.36987327331999936,0.6996734804352124,0.329800207115213
200,0.2,ILSVRC2012_val_00018922,0.4927446645314495,0.4901300200392802,-0.0026146444921693046
200,0.2,ILSVRC2012_val_00025924,0.21450969553204877,0.4104163562479119,0.19590666071586313
200,0.2,ILSVRC2012_val_00027450,0.24489708694343762,0.6692646802340945,0.4243675932906569
200,0.2,ILSVRC2012_val_00029063,0.15285524055069932,0.6037464594129472,0.4508912188622479
200,0.2,ILSVRC2012_val_00030419,0.15190896532538659,0.6673963940478861,0.5154874287224995
200,0.2,ILSVRC2012_val_00030425,0.37783953345566984,0.40352146925333265,0.025681935797662814
200,0.2,ILSVRC2012_val_00035318,0.3866763646617532,0.5735897126495838,0.1869133479878306
200,0.2,ILSVRC2012_val_00035574,0.2985845530793071,0.7672748065869014,0.4686902535075943
200,0.2,ILSVRC2012_val_00036158,0.17619817756315848,0.41737132442123254,0.24117314685807406
200,0.2,ILSVRC2012_val_00041330,0.18569214701792225,0.46935154625652364,0.2836593992386014
200,0.2,ILSVRC2012_val_00048463,0.1675507767332097,0.7053316955711848,0.5377809188379751
400,0.4,ILSVRC2012_val_00000487,0.08454860309288292,0.12069321742109607,0.03614461432821314
400,0.4,ILSVRC2012_val_00000681,0.16123773692951848,0.1939582120080207,0.032720475078502204
400,0.4,ILSVRC2012_val_00000729,0.1827182268538551,0.271387707258303,0.08866948040444791
400,0.4,ILSVRC2012_val_00000974,0.1564872124282022,0.5952514108395359,0.43876419841133374
400,0.4,ILSVRC2012_val_00003449,0.19776135482243262,0.5935916269966983,0.3958302721742657
400,0.4,ILSVRC2012_val_00005130,0.2920220905542374,0.49085813931441713,0.19883604876017974
400,0.4,ILSVRC2012_val_00006808,0.15578074810667505,0.07473693730841235,-0.0810438107982627
400,0.4,ILSVRC2012_val_00010733,0.14904948092640066,0.18354734310699858,0.034497862180597916
400,0.4,ILSVRC2012_val_00014541,0.19494852877190957,0.48896175353601573,0.2940132247641062
400,0.4,ILSVRC2012_val_00018922,0.3788343661647911,0.2824575704858289,-0.09637679567896218
400,0.4,ILSVRC2012_val_00025924,0.10819723129483949,0.11627915338435559,0.008081922089516094
400,0.4,ILSVRC2012_val_00027450,0.11879166146959563,0.3165717606576121,0.19778009918801648
400,0.4,ILSVRC2012_val_00029063,0.08253375500125305,0.37914460790605514,0.2966108529048021
400,0.4,ILSVRC2012_val_00030419,0.11449198799754957,0.39358623124880254,0.279094243251253
400,0.4,ILSVRC2012_val_00030425,0.19298334704331743,0.09564087657706115,-0.09734247046625628
400,0.4,ILSVRC2012_val_00035318,0.27526049339026215,0.3139366932795383,0.038676199889276175
400,0.4,ILSVRC2012_val_00035574,0.1220769321282472,0.1985718788407491,0.07649494671250189
400,0.4,ILSVRC2012_val_00036158,0.0954723282159539,0.1030393030417666,0.0075669748258127
400,0.4,ILSVRC2012_val_00041330,0.0772733540306799,0.13681533591782988,0.05954198188714997
400,0.4,ILSVRC2012_val_00048463,0.1114917737430854,0.36367098944655546,0.25217921570347007
600,0.6,ILSVRC2012_val_00000487,0.04640187839052912,0.05595779258549253,0.009555914194963412
600,0.6,ILSVRC2012_val_00000681,0.06422630997736026,0.03622392561480713,-0.028002384362553125
600,0.6,ILSVRC2012_val_00000729,0.07868878462797148,0.04984550081031436,-0.02884328381765712
600,0.6,ILSVRC2012_val_00000974,0.0706205250084798,0.07395728222177422,0.0033367572132944195
600,0.6,ILSVRC2012_val_00003449,0.06158801838008609,0.08187855237959109,0.020290533999505
600,0.6,ILSVRC2012_val_00005130,0.08063532875376404,0.10468016216289834,0.024044833409134297
600,0.6,ILSVRC2012_val_00006808,0.07098085769211564,0.01473074097708256,-0.05625011671503308
600,0.6,ILSVRC2012_val_00010733,0.07543171147130973,0.0691532298275415,-0.006278481643768222
