noise_step,rho,image_name,group,auc,half_life
200,0.2,ILSVRC2012_val_00000681,low,0.3316997498738269,0.06062970681394369
200,0.2,ILSVRC2012_val_00000681,high,0.6309247168314953,0.9286867482690023
200,0.2,ILSVRC2012_val_00000729,low,0.31902471033768315,0.01330094889927931
200,0.2,ILSVRC2012_val_00000729,high,0.6841776421455306,
200,0.2,ILSVRC2012_val_00000974,low,0.264242615737021,0.009585551937116223
200,0.2,ILSVRC2012_val_00000974,high,0.7678264133250652,
200,0.2,ILSVRC2012_val_00003449,low,0.33366529020269714,0.05450371156013482
200,0.2,ILSVRC2012_val_00003449,high,0.7504610106901266,
200,0.2,ILSVRC2012_val_00005130,low,0.4221909220824639,0.16857108264463755
200,0.2,ILSVRC2012_val_00005130,high,0.6916783188126981,
200,0.2,ILSVRC2012_val_00006808,low,0.38998166954594976,0.15881393551346007
200,0.2,ILSVRC2012_val_00006808,high,0.3999552187055039,0.23115652461414254
200,0.2,ILSVRC2012_val_00010733,low,0.2781389477215707,0.028868695196035472
200,0.2,ILSVRC2012_val_00010733,high,0.44138105942457917,0.2579095391271624
200,0.2,ILSVRC2012_val_00014541,low,0.36987327331999936,0.07850890329771636
200,0.2,ILSVRC2012_val_00014541,high,0.6996734804352125,
200,0.2,ILSVRC2012_val_00018922,low,0.4927446645314495,0.4016681466164273
200,0.2,ILSVRC2012_val_00018922,high,0.49013002003928025,0.39640846315531797
200,0.2,ILSVRC2012_val_00025924,low,0.21450969553204874,0.013298713303985844
200,0.2,ILSVRC2012_val_00025924,high,0.41041635624791184,0.21299985517318207
200,0.2,ILSVRC2012_val_00027450,low,0.24489708694343768,0.012102986590823797
200,0.2,ILSVRC2012_val_00027450,high,0.6692646802340945,
200,0.2,ILSVRC2012_val_00029063,low,0.15285524055069935,0.009337781596750774
200,0.2,ILSVRC2012_val_00029063,high,0.6037464594129472,
200,0.2,ILSVRC2012_val_00030419,low,0.15190896532538656,0.008374123267818157
200,0.2,ILSVRC2012_val_00030419,high,0.6673963940478861,
200,0.2,ILSVRC2012_val_00030425,low,0.3778395334556699,0.06588474782458058
200,0.2,ILSVRC2012_val_00030425,high,0.4035214692533327,0.2135157699115355
200,0.2,ILSVRC2012_val_00035318,low,0.3866763646617532,0.06600494169732846
200,0.2,ILSVRC2012_val_00035318,high,0.5735897126495839,0.6035668430011077
200,0.2,ILSVRC2012_val_00035574,low,0.2985845530793071,0.030441464750111242
200,0.2,ILSVRC2012_val_00035574,high,0.7672748065869013,
200,0.2,ILSVRC2012_val_00036158,low,0.1761981775631585,0.009416584138113627
200,0.2,ILSVRC2012_val_00036158,high,0.41737132442123254,0.2734664761498034
200,0.2,ILSVRC2012_val_00041330,low,0.18569214701792225,0.021895472847018215
200,0.2,ILSVRC2012_val_00041330,high,0.46935154625652364,0.351559148221338
200,0.2,ILSVRC2012_val_00048463,low,0.1675507767332097,0.00819357549227506
200,0.2,ILSVRC2012_val_00048463,high,0.7053316955711848,
400,0.4,ILSVRC2012_val_00000487,low,0.08454860309288295,0.006491253289222131
400,0.4,ILSVRC2012_val_00000487,high,0.12069321742109604,0.008208012772182503
400,0.4,ILSVRC2012_val_00000681,low,0.16123773692951848,0.009190449792307657
400,0.4,ILSVRC2012_val_00000681,high,0.19395821200802071,0.13624546885657748
400,0.4,ILSVRC2012_val_00000729,low,0.1827182268538551,0.008320909310673367
400,0.4,ILSVRC2012_val_00000729,high,0.271387707258303,0.1447397433286416
400,0.4,ILSVRC2012_val_00000974,low,0.15648721242820224,0.0075143097789540855
400,0.4,ILSVRC2012_val_00000974,high,0.5952514108395359,0.6781874386245601
400,0.4,ILSVRC2012_val_00003449,low,0.19776135482243262,0.009178868705729749
400,0.4,ILSVRC2012_val_00003449,high,0.5935916269966983,0.6058870038938265
400,0.4,ILSVRC2012_val_00005130,low,0.2920220905542374,0.016748332033081303
400,0.4,ILSVRC2012_val_00005130,high,0.49085813931441713,0.553246529573599
400,0.4,ILSVRC2012_val_00006808,low,0.15578074810667505,0.0119236394535124
400,0.4,ILSVRC2012_val_00006808,high,0.07473693730841237,0.011172774644977363
400,0.4,ILSVRC2012_val_00010733,low,0.1490494809264007,0.008317521237329935
400,0.4,ILSVRC2012_val_00010733,high,0.1835473431069986,0.020027945631664008
400,0.4,ILSVRC2012_val_00014541,low,0.19494852877190957,0.00971214019135159
400,0.4,ILSVRC2012_val_00014541,high,0.4889617535360158,0.4567717004914887
400,0.4,ILSVRC2012_val_00018922,low,0.37883436616479105,0.05674715045640582
400,0.4,ILSVRC2012_val_00018922,high,0.28245757048582887,0.04135219575016854
400,0.4,ILSVRC2012_val_00025924,low,0.10819723129483949,0.007299003510541864
400,0.4,ILSVRC2012_val_00025924,high,0.1162791533843556,0.00999676260884962
400,0.4,ILSVRC2012_val_00027450,low,0.11879166146959565,0.007422666988180175
400,0.4,ILSVRC2012_val_00027450,high,0.31657176065761206,0.16785685840054862
400,0.4,ILSVRC2012_val_00029063,low,0.08253375500125307,0.006588065546398985
400,0.4,ILSVRC2012_val_00029063,high,0.37914460790605514,0.07758896059244062
400,0.4,ILSVRC2012_val_00030419,low,0.11449198799754959,0.006401686524230151
400,0.4,ILSVRC2012_val_00030419,high,0.3935862312488025,0.18354326156106562
400,0.4,ILSVRC2012_val_00030425,low,0.19298334704331743,0.009250343515044626
400,0.4,ILSVRC2012_val_00030425,high,0.09564087657706113,0.009787045895568908
400,0.4,ILSVRC2012_val_00035318,low,0.27526049339026215,0.009539281031933706
400,0.4,ILSVRC2012_val_00035318,high,0.31393669327953827,0.12587390378103352
400,0.4,ILSVRC2012_val_00035574,low,0.12207693212824718,0.008255565563868597
400,0.4,ILSVRC2012_val_00035574,high,0.19857187884074906,0.10221073818013775
400,0.4,ILSVRC2012_val_00036158,low,0.09547232821595389,0.006727745389895084
400,0.4,ILSVRC2012_val_00036158,high,0.10303930304176659,0.019798308525113207
400,0.4,ILSVRC2012_val_00041330,low,0.07727335403067992,0.0074063157540306054
400,0.4,ILSVRC2012_val_00041330,high,0.13681533591782985,0.017013584126028897
400,0.4,ILSVRC2012_val_00048463,low,0.1114917737430854,0.006555735560735309
400,0.4,ILSVRC2012_val_00048463,high,0.3636709894465554,0.2783266423691168
600,0.6,ILSVRC2012_val_00000487,low,0.04640187839052912,0.005658529773487187
600,0.6,ILSVRC2012_val_00000487,high,0.05595779258549252,0.005546334730184372
600,0.6,ILSVRC2012_val_00000681,low,0.06422630997736026,0.006400290151907054
600,0.6,ILSVRC2012_val_00000681,high,0.03622392561480713,0.005939751685827195
600,0.6,ILSVRC2012_val_00000729,low,0.07868878462797148,0.006083774122456859
600,0.6,ILSVRC2012_val_00000729,high,0.04984550081031436,0.005762330007552975
600,0.6,ILSVRC2012_val_00000974,low,0.07062052500847979,0.0061866008222475535
600,0.6,ILSVRC2012_val_00000974,high,0.07395728222177422,0.02293820817205077
600,0.6,ILSVRC2012_val_00003449,low,0.061588018380086096,0.006658777164895055
600,0.6,ILSVRC2012_val_00003449,high,0.08187855237959107,0.014730047894388084
600,0.6,ILSVRC2012_val_00005130,low,0.08063532875376406,0.007710209264848755
600,0.6,ILSVRC2012_val_00005130,high,0.10468016216289834,0.049098994111808736
600,0.6,ILSVRC2012_val_00006808,low,0.07098085769211562,0.006017210994202932
600,0.6,ILSVRC2012_val_00006808,high,0.014730740977082555,0.0053873308606450215
600,0.6,ILSVRC2012_val_00010733,low,0.07543171147130973,0.006257756339451017
600,0.6,ILSVRC2012_val_00010733,high,0.06915322982754152,0.006460728956887134
600,0.6,ILSVRC2012_val_00014541,low,0.05795685931191352,0.00672897218827005
600,0.6,ILSVRC2012_val_00014541,high,0.12837077679550082,0.019891566933057513
600,0.6,ILSVRC2012_val_00018922,low,0.15451439155338448,0.009182818576698962
600,0.6,ILSVRC2012_val_00018922,high,0.1009592100623607,0.007788782710382181
600,0.6,ILSVRC2012_val_00025924,low,0.052395784531719974,0.005765434820996132
600,0.6,ILSVRC2012_val_00025924,high,0.05910593803495673,0.005639186539684966
600,0.6,ILSVRC2012_val_00027450,low,0.04682283973285424,0.005898687300511029
600,0.6,ILSVRC2012_val_00027450,high,0.07781699069215878,0.0072078761784422195
600,0.6,ILSVRC2012_val_00029063,low,0.045241129997511356,0.00570685034488886
600,0.6,ILSVRC2012_val_00029063,high,0.08585477939318904,0.008867439136160418
600,0.6,ILSVRC2012_val_00030419,low,0.06880356974508808,0.005802745158784541
600,0.6,ILSVRC2012_val_00030419,high,0.1052293755428788,0.009311173539599586
600,0.6,ILSVRC2012_val_00030425,low,0.06263355555118566,0.007297625074238634
600,0.6,ILSVRC2012_val_00030425,high,0.04047592498602656,0.0055381944532862095
600,0.6,ILSVRC2012_val_00035318,low,0.15287993174147174,0.007201816641619967
600,0.6,ILSVRC2012_val_00035318,high,0.0852328325692991,0.008874929880838857
600,0.6,ILSVRC2012_val_00035574,low,0.051396113554646336,0.006092172659381821
600,0.6,ILSVRC2012_val_00035574,high,0.045620780659820115,0.005486813172427827
600,0.6,ILSVRC2012_val_00036158,low,0.06259351066576588,0.005639719575265073
600,0.6,ILSVRC2012_val_00036158,high,0.0318513327059821,0.005932938162214953
600,0.6,ILSVRC2012_val_00041330,low,0.010942824280442437,0.005691520182705363
600,0.6,ILSVRC2012_val_00041330,high,0.05398971939739809,0.006107504262115885
600,0.6,ILSVRC2012_val_00048463,low,0.06592534125751505,0.005759987006087052
600,0.6,ILSVRC2012_val_00048463,high,0.06308618247883957,0.0069693933915221645
800,0.8,ILSVRC2012_val_00000487,low,0.02242310682795748,0.005312224663670647
