variant,exclude_classifier,noise_step,rho,n_images,low_auc_curvefirst,high_auc_curvefirst,auc_gap_curvefirst,low_auc_imagefirst_mean,high_auc_imagefirst_mean,auc_gap_imagefirst_mean,auc_gap_imagefirst_sem
with_classifier,False,0,0.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.0
with_classifier,False,100,0.1,20,0.37010052464763954,0.6774432442949279,0.30734271964728826,0.37010052464763954,0.6774432442949277,0.3073427196472883,0.03127792272889959
with_classifier,False,200,0.2,20,0.2860635864663201,0.5795765470971118,0.2935129606307918,0.28606358646632,0.5795765470971117,0.29351296063079174,0.03770326063948641
with_classifier,False,400,0.4,20,0.16259806064828447,0.2856350374287826,0.12303697678049819,0.16259806064828447,0.28563503742878266,0.12303697678049819,0.0358642497842792
with_classifier,False,600,0.6,20,0.06903396331125575,0.06820105149489561,-0.0008329118163601372,0.06903396331125575,0.06820105149489561,-0.0008329118163601364,0.008209889597192424
with_classifier,False,800,0.8,20,0.031141352253815056,0.03845556829024184,0.007314216036426782,0.031141352253815056,0.03845556829024184,0.007314216036426782,0.0032730522377001467
with_classifier,False,999,0.999,20,0.025601942872065412,0.03619548642788771,0.0105935435558223,0.025601942872065415,0.03619548642788771,0.010593543555822302,0.0030990181633063444
without_classifier,True,0,0.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.0
without_classifier,True,100,0.1,20,0.37010052464763954,0.6087890570311775,0.23868853238353796,0.37010052464763954,0.6087890570311774,0.23868853238353788,0.032692275371771495
without_classifier,True,200,0.2,20,0.2860635864663201,0.49415640909075065,0.20809282262443063,0.28606358646632,0.4941564090907507,0.2080928226244306,0.0389231829574401
without_classifier,True,400,0.4,20,0.16259806064828447,0.22126767412687504,0.058669613478590565,0.16259806064828447,0.221267674126875,0.05866961347859058,0.03226503906612632
without_classifier,True,600,0.6,20,0.06903396331125575,0.04566172453821419,-0.023372238773041558,0.06903396331125575,0.04566172453821418,-0.023372238773041558,0.007603638515296395
without_classifier,True,800,0.8,20,0.031141352253815056,0.0274621987222136,-0.0036791535316014544,0.031141352253815056,0.027462198722213598,-0.0036791535316014535,0.0026778129321422175
without_classifier,True,999,0.999,20,0.025601942872065412,0.0266294521405056,0.001027509268440189,0.025601942872065415,0.026629452140505598,0.001027509268440189,0.0024902891036936753
