noise_step,rho,n_images,low_auc_mean,low_auc_sem,high_auc_mean,high_auc_sem,gap_high_minus_low_mean,gap_high_minus_low_sem
0,0.0,20,1.0,0.0,1.0,0.0,0.0,0.0
100,0.1,20,0.37010052464763954,0.024956667012738548,0.6774432442949279,0.025155035205029822,0.30734271964728826,0.03127792272889959
200,0.2,20,0.28606358646632,0.022805772516467707,0.5795765470971118,0.03177480867380812,0.29351296063079174,0.03770326063948641
400,0.4,20,0.16259806064828444,0.01745795795227221,0.28563503742878266,0.037026808855492546,0.12303697678049819,0.0358642497842792
600,0.6,20,0.06903396331125575,0.007334070194479597,0.06820105149489561,0.006405130447222655,-0.0008329118163601368,0.008209889597192425
800,0.8,20,0.031141352253815056,0.002282077162258155,0.03845556829024184,0.0022130167728507863,0.007314216036426782,0.0032730522377001467
999,0.999,20,0.02560194287206541,0.002031390230719824,0.03619548642788771,0.0020703071790731183,0.010593543555822302,0.0030990181633063444
