noise_step,rho,layer,layer_idx,mean_cosine,sem_cosine,n_images
100,0.1,features.5.11,20,0.803738301819147,0.00863565268508005,20
100,0.1,features.5.12,21,0.8019182999743972,0.008592177012631331,20
100,0.1,features.5.13,22,0.8017608921846678,0.008548015503925697,20
100,0.1,features.5.14,23,0.8042434418866801,0.008380791806324108,20
100,0.1,features.5.15,24,0.8066987959091053,0.008349047836425347,20
100,0.1,features.5.16,25,0.8073419687692509,0.008161024371441087,20
100,0.1,features.5.17,26,0.8088513520859009,0.00819104921620641,20
100,0.1,features.5.18,27,0.8101342160188875,0.008147798320514795,20
100,0.1,features.5.19,28,0.812798709924831,0.00806110724599669,20
100,0.1,features.5.20,29,0.8148780589006668,0.008180612749543794,20
100,0.1,features.5.21,30,0.8202563874374988,0.008154361085989327,20
100,0.1,features.5.22,31,0.8238765394313392,0.008166384416542546,20
100,0.1,features.5.23,32,0.827051836338154,0.008257742018362584,20
100,0.1,features.5.24,33,0.8338674646907075,0.00813954477395344,20
100,0.1,features.5.25,34,0.8412236006467841,0.008023605741056034,20
100,0.1,features.5.26,35,0.8476078319549561,0.008002510584784062,20
100,0.1,features.6,36,0.8970269708577977,0.007623399544163901,20
100,0.1,features.7.0,37,0.8985817670281543,0.007618429458844302,20
100,0.1,features.7.1,38,0.9025326864137206,0.0077688746229960595,20
100,0.1,features.7.2,39,0.9055959085655767,0.007800817992432945,20
100,0.1,classifier,40,0.9781294647275015,0.0029086944786023256,20
200,0.2,features.0,0,0.6061470132198024,0.03028128174843058,20
200,0.2,features.1.0,1,0.5796290271023046,0.024782179145719316,20
200,0.2,features.1.1,2,0.5399714429119359,0.021166415045268096,20
200,0.2,features.1.2,3,0.4816028587908849,0.019502310013699856,20
200,0.2,features.2,4,0.5447613856922026,0.017908159461361647,20
200,0.2,features.3.0,5,0.536932787610137,0.017308235415619082,20
200,0.2,features.3.1,6,0.5150585792090582,0.01758233428929045,20
200,0.2,features.3.2,7,0.5062248817345371,0.01821248681074928,20
200,0.2,features.4,8,0.6347537660870863,0.014256218228784312,20
200,0.2,features.5.0,9,0.6331535863591278,0.013948766520419662,20
200,0.2,features.5.1,10,0.6339259046367978,0.013824539035183867,20
200,0.2,features.5.2,11,0.6393108083813087,0.013389715107638703,20
200,0.2,features.5.3,12,0.6441190535296565,0.012977526472827721,20
200,0.2,features.5.4,13,0.6549605513603791,0.012802923139616014,20
200,0.2,features.5.5,14,0.6660767703004505,0.012353333210741863,20
200,0.2,features.5.6,15,0.6649481486781783,0.012038228769282856,20
200,0.2,features.5.7,16,0.670543524586636,0.012001362406851053,20
200,0.2,features.5.8,17,0.6774292579111846,0.011861355524205492,20
200,0.2,features.5.9,18,0.6802830168864001,0.011758010841131736,20
200,0.2,features.5.10,19,0.685186069542947,0.01169534079489806,20
200,0.2,features.5.11,20,0.6817419154384862,0.01201153840103268,20
200,0.2,features.5.12,21,0.6775969742095989,0.011960269135931588,20
200,0.2,features.5.13,22,0.6772382678337718,0.012039628180899514,20
200,0.2,features.5.14,23,0.6796811281675879,0.011823957080659314,20
200,0.2,features.5.15,24,0.6819051617539447,0.011908735271854707,20
200,0.2,features.5.16,25,0.6817960636097452,0.011732661411906495,20
200,0.2,features.5.17,26,0.6827049710517344,0.011859874184058244,20
200,0.2,features.5.18,27,0.6841919059520183,0.011776970761085043,20
200,0.2,features.5.19,28,0.6880054038970367,0.011604760101785544,20
200,0.2,features.5.20,29,0.6908586787063142,0.011765906674512775,20
200,0.2,features.5.21,30,0.6990131027594857,0.011748120105497863,20
200,0.2,features.5.22,31,0.70431761973578,0.011840047084786684,20
200,0.2,features.5.23,32,0.7094467327102371,0.011847472648698905,20
200,0.2,features.5.24,33,0.7198147013109664,0.011782474249549016,20
200,0.2,features.5.25,34,0.7313632692953814,0.011711383811948091,20
200,0.2,features.5.26,35,0.7413654175193414,0.011695137126422419,20
200,0.2,features.6,36,0.8063485011924868,0.013571023082706283,20
200,0.2,features.7.0,37,0.8090081738907358,0.013560811316341044,20
200,0.2,features.7.1,38,0.8155124143802601,0.013907689169402817,20
200,0.2,features.7.2,39,0.8203648380144782,0.0141860586925906,20
200,0.2,classifier,40,0.9503506307265033,0.0065717911978916575,20
400,0.4,features.0,0,0.3786461496725678,0.033226807939289525,20
400,0.4,features.1.0,1,0.4057944677770138,0.02517081624943033,20
400,0.4,features.1.1,2,0.3665790518373251,0.02052427533510284,20
400,0.4,features.1.2,3,0.3149245117977262,0.018386882189558498,20
400,0.4,features.2,4,0.35266591906547545,0.01745344288198549,20
400,0.4,features.3.0,5,0.344889395609498,0.016115962424186683,20
400,0.4,features.3.1,6,0.32767840337008236,0.01574748130036645,20
400,0.4,features.3.2,7,0.3169519919902086,0.016676068344424234,20
400,0.4,features.4,8,0.43999547988176346,0.01556496741091662,20
400,0.4,features.5.0,9,0.43584310911595825,0.015645334967658037,20
400,0.4,features.5.1,10,0.43229574739933013,0.015856830863253277,20
400,0.4,features.5.2,11,0.4359047029167414,0.016029610627919525,20
400,0.4,features.5.3,12,0.4397150724381208,0.01613990050483448,20
400,0.4,features.5.4,13,0.45212632589042184,0.0167101149852487,20
400,0.4,features.5.5,14,0.4630996447056532,0.016891338020588755,20
400,0.4,features.5.6,15,0.4600334505736828,0.017101887520082546,20
400,0.4,features.5.7,16,0.46469349019229417,0.017632351374441465,20
400,0.4,features.5.8,17,0.4717732144147157,0.01776491781126147,20
400,0.4,features.5.9,18,0.47451791219413286,0.01804100672463091,20
400,0.4,features.5.10,19,0.47868441484868524,0.018406120463337478,20
400,0.4,features.5.11,20,0.47210296742618085,0.018899971179391534,20
400,0.4,features.5.12,21,0.46408639118075373,0.01880762840020538,20
400,0.4,features.5.13,22,0.46351810380816455,0.019120178096661448,20
400,0.4,features.5.14,23,0.4641660015285015,0.018956188474560057,20
400,0.4,features.5.15,24,0.4644906202703714,0.019458448583885672,20
400,0.4,features.5.16,25,0.4622397678345441,0.01946898120786391,20
400,0.4,features.5.17,26,0.46058779373764996,0.01970791076285976,20
400,0.4,features.5.18,27,0.4613938942924142,0.01965145902634201,20
400,0.4,features.5.19,28,0.46523908723145724,0.01962995495109352,20
400,0.4,features.5.20,29,0.4675791785120964,0.019910834188577257,20
400,0.4,features.5.21,30,0.47728144235908987,0.02021063539438476,20
400,0.4,features.5.22,31,0.4824622158706188,0.020419723375897536,20
400,0.4,features.5.23,32,0.48839826252311463,0.020499177660995956,20
400,0.4,features.5.24,33,0.5010919791832567,0.02133764529457911,20
400,0.4,features.5.25,34,0.5157495472952723,0.02207981990701643,20
400,0.4,features.5.26,35,0.5280072873830794,0.022750559246434227,20
400,0.4,features.6,36,0.5953768289461732,0.030572462929215494,20
400,0.4,features.7.0,37,0.5979623777791858,0.03090624961191049,20
400,0.4,features.7.1,38,0.6056274055689573,0.032071046805773495,20
400,0.4,features.7.2,39,0.6108584382012486,0.03307374418149096,20
400,0.4,classifier,40,0.8376644484698772,0.027171753654088523,20
600,0.6,features.0,0,0.19362280551344155,0.025898699702711372,20
600,0.6,features.1.0,1,0.2241779494797811,0.021643958735606435,20
600,0.6,features.1.1,2,0.19753808391280472,0.016453872600046174,20
600,0.6,features.1.2,3,0.16681356664747,0.013829526036932356,20
600,0.6,features.2,4,0.16935983177507297,0.013918405218338616,20
600,0.6,features.3.0,5,0.16111103605479002,0.012591376906020274,20
600,0.6,features.3.1,6,0.15245665496215224,0.01182174198415878,20
600,0.6,features.3.2,7,0.1441098488867283,0.01261804407321262,20
600,0.6,features.4,8,0.22002581926994025,0.015164134240435856,20
600,0.6,features.5.0,9,0.21406852010637523,0.01544295391827592,20
600,0.6,features.5.1,10,0.20690532291308045,0.015828668719016507,20
600,0.6,features.5.2,11,0.20684281997382642,0.01659139417962046,20
600,0.6,features.5.3,12,0.2067434373125434,0.01721049720287495,20
600,0.6,features.5.4,13,0.21408669512718914,0.018539801869728884,20
600,0.6,features.5.5,14,0.21769703255966305,0.019606895885322665,20
600,0.6,features.5.6,15,0.21361607499420643,0.01995633057644054,20
600,0.6,features.5.7,16,0.21372112469747662,0.020810764202719368,20
600,0.6,features.5.8,17,0.21488738077692687,0.021500164991059938,20
600,0.6,features.5.9,18,0.21442995299585163,0.02200911608572874,20
600,0.6,features.5.10,19,0.21282513507641854,0.022422559455795448,20
600,0.6,features.5.11,20,0.20588409615680575,0.022254968998209626,20
600,0.6,features.5.12,21,0.19853798408061266,0.021733173250129086,20
600,0.6,features.5.13,22,0.19763526343740523,0.021922295092247523,20
600,0.6,features.5.14,23,0.195604167021811,0.021793276313917587,20
600,0.6,features.5.15,24,0.19365302251186223,0.022229827067499094,20
600,0.6,features.5.16,25,0.19079980723094198,0.022159655923589497,20
600,0.6,features.5.17,26,0.18737358681857585,0.022302646902866395,20
600,0.6,features.5.18,27,0.18715989920310677,0.022276144499754236,20
600,0.6,features.5.19,28,0.18831604231148957,0.022602236797122952,20
600,0.6,features.5.20,29,0.18787405394483359,0.02289807446556521,20
600,0.6,features.5.21,30,0.19106008351780474,0.023700653820143868,20
600,0.6,features.5.22,31,0.19197426637634635,0.024077517498326963,20
600,0.6,features.5.23,32,0.19450578912161293,0.024391664865812505,20
600,0.6,features.5.24,33,0.2002028869604692,0.025779943724689974,20
600,0.6,features.5.25,34,0.20709046963602304,0.027140377786665306,20
600,0.6,features.5.26,35,0.2118995507247746,0.02829971376614256,20
600,0.6,features.6,36,0.23536689661443236,0.036976013281728747,20
600,0.6,features.7.0,37,0.23478192791575564,0.037357799390439976,20
600,0.6,features.7.1,38,0.23656141263665634,0.03860124020375476,20
600,0.6,features.7.2,39,0.23646270245895723,0.03971668646826547,20
600,0.6,classifier,40,0.4340824347059242,0.05735399513697784,20
800,0.8,features.0,0,0.07985814894098439,0.013138418584405375,20
800,0.8,features.1.0,1,0.09314597106305882,0.010919928622545491,20
800,0.8,features.1.1,2,0.08740188287309138,0.0074605161267040435,20
800,0.8,features.1.2,3,0.07538956584583503,0.006159473446672533,20
800,0.8,features.2,4,0.06369801812921651,0.004926891946026225,20
800,0.8,features.3.0,5,0.058684658870333806,0.004083314523465488,20
800,0.8,features.3.1,6,0.057136238139355554,0.0038792679015387,20
800,0.8,features.3.2,7,0.05275935251847841,0.004165554990826134,20
800,0.8,features.4,8,0.07914387900033035,0.005148815425087927,20
800,0.8,features.5.0,9,0.07390404596342705,0.005001046612320122,20
800,0.8,features.5.1,10,0.06796530018822523,0.004598498170677777,20
800,0.8,features.5.2,11,0.0660289009049302,0.00464969439641181,20
800,0.8,features.5.3,12,0.06490831592469476,0.004678007437460114,20
800,0.8,features.5.4,13,0.0671915211436135,0.005254697457768708,20
800,0.8,features.5.5,14,0.06694617676752387,0.00544467719865488,20
800,0.8,features.5.6,15,0.06508293493126985,0.005299497515697142,20
800,0.8,features.5.7,16,0.06294421162107028,0.005255954604553083,20
800,0.8,features.5.8,17,0.06126355086104013,0.005299340968215173,20
800,0.8,features.5.9,18,0.05973361281532561,0.005255816803529642,20
800,0.8,features.5.10,19,0.05730798060889356,0.0050756370273321175,20
800,0.8,features.5.11,20,0.05451067197427619,0.004756492125697002,20
800,0.8,features.5.12,21,0.05242904456681572,0.004446179220876358,20
800,0.8,features.5.13,22,0.051269717996474354,0.004392279877902261,20
800,0.8,features.5.14,23,0.050319299298571415,0.004291487710203271,20
800,0.8,features.5.15,24,0.047961682628374545,0.004101470306868777,20
800,0.8,features.5.16,25,0.04739956563455053,0.003972582429035155,20
800,0.8,features.5.17,26,0.04536206346005202,0.003802621612433946,20
800,0.8,features.5.18,27,0.0458131219423376,0.003798208419891863,20
800,0.8,features.5.19,28,0.04577668819052633,0.0038322731386747997,20
800,0.8,features.5.20,29,0.04491245393641293,0.003886316951424346,20
800,0.8,features.5.21,30,0.04500072698487202,0.003982479833878434,20
800,0.8,features.5.22,31,0.04483277638850268,0.004041776842253851,20
800,0.8,features.5.23,32,0.046698906766832804,0.004169110128202753,20
800,0.8,features.5.24,33,0.04808936621091561,0.004419179981151818,20
800,0.8,features.5.25,34,0.05011427179531893,0.0047424470511397265,20
800,0.8,features.5.26,35,0.050646208499092606,0.0050800016552835095,20
800,0.8,features.6,36,0.04244120915114763,0.005660657999088264,20
800,0.8,features.7.0,37,0.04189830988732865,0.005645373627421032,20
800,0.8,features.7.1,38,0.040626867734390545,0.005777553063075533,20
800,0.8,features.7.2,39,0.0379939334464143,0.0059046409473154865,20
800,0.8,classifier,40,0.11789707108982839,0.015090028210674507,20
999,0.999,features.0,0,0.013894275276106783,0.00389543645311145,20
999,0.999,features.1.0,1,0.027211759553174487,0.005684064301051299,20
999,0.999,features.1.1,2,0.0447485817654524,0.004291977049412153,20
999,0.999,features.1.2,3,0.04228898721048609,0.004172346445610185,20
999,0.999,features.2,4,0.034043700043694114,0.0032962153420695887,20
999,0.999,features.3.0,5,0.03167578958556987,0.0027156675196894366,20
999,0.999,features.3.1,6,0.033153828773647545,0.0023415635712987896,20
999,0.999,features.3.2,7,0.032438263712101616,0.0025414203303848956,20
999,0.999,features.4,8,0.04199371318885824,0.0028193587226090365,20
999,0.999,features.5.0,9,0.03936602999456227,0.00254497750284756,20
999,0.999,features.5.1,10,0.03622848275932483,0.002285595429665609,20
999,0.999,features.5.2,11,0.035791102452203634,0.002159291123306073,20
999,0.999,features.5.3,12,0.035753302736848125,0.0020603556364408864,20
999,0.999,features.5.4,13,0.037213194310897965,0.0020790413855239945,20
999,0.999,features.5.5,14,0.03639474334951956,0.00197662349592964,20
999,0.999,features.5.6,15,0.03606114842928946,0.0018200558664903858,20
999,0.999,features.5.7,16,0.03458112969761714,0.0016827039564822988,20
999,0.999,features.5.8,17,0.03323202386382036,0.0016376080196211934,20
999,0.999,features.5.9,18,0.032124490503920244,0.0016005195660953868,20
999,0.999,features.5.10,19,0.031189676915528253,0.0015426308890197386,20
999,0.999,features.5.11,20,0.030095285550924018,0.0014492194781091864,20
999,0.999,features.5.12,21,0.029710865748347713,0.0013769854265238298,20
999,0.999,features.5.13,22,0.029128502975800073,0.0013163348765098321,20
999,0.999,features.5.14,23,0.029398974354262464,0.0012837795887973662,20
999,0.999,features.5.15,24,0.028165592668228785,0.0011686552057801386,20
999,0.999,features.5.16,25,0.028147804714972153,0.001125600657101985,20
999,0.999,features.5.17,26,0.027096360189025292,0.0010874323627212085,20
999,0.999,features.5.18,27,0.027959517771378162,0.0011274152433986208,20
999,0.999,features.5.19,28,0.027879059149418028,0.001125571562092825,20
999,0.999,features.5.20,29,0.027255745014408604,0.0010752984872405803,20
999,0.999,features.5.21,30,0.027588367877178825,0.0011559393944591417,20
999,0.999,features.5.22,31,0.027630329310195524,0.0012199969158930653,20
999,0.999,features.5.23,32,0.02926444543059915,0.0012935589036692844,20
999,0.999,features.5.24,33,0.030442225671140476,0.0014993391562442152,20
999,0.999,features.5.25,34,0.031896578544983636,0.001690506839219491,20
999,0.999,features.5.26,35,0.031839477953035385,0.001961735443493131,20
999,0.999,features.6,36,0.022713570116320626,0.0018346319510303556,20
999,0.999,features.7.0,37,0.022932004474278074,0.0017415411624404251,20
999,0.999,features.7.1,38,0.021517198914662004,0.0016927679380928473,20
999,0.999,features.7.2,39,0.019596548590925522,0.0016424720151032438,20
999,0.999,classifier,40,0.058713777430821214,0.007121864073869109,20
